median_error,mean_error,p95_error,scale,offset_minutes,n
306160.232,304257.03271111107,331839.27880000003,100.0,390,45
306163.232,304049.2021111111,331505.06620000006,100.0,360,45
306166.906,306335.0024693877,333093.1918,100.0,-630,49
306223.232,304885.4063488372,331744.9015,100.0,420,43
306610.406,305235.5462181818,332033.8359,100.0,-330,55
306689.406,305332.12803636363,332210.28589999996,100.0,-390,55
306823.406,305337.4280363636,332470.3859,100.0,-420,55
306922.906,305407.4644,332626.4359,100.0,-450,55
306988.906,305719.84984313726,332321.15650000004,100.0,-570,51
307204.406,306546.66079166665,333166.014,100.0,-720,48
307330.5835,305702.05557692307,332012.9084,100.0,-30,52
307339.819,304785.4333695652,331680.49175,100.0,300,46
307356.406,305784.1525,331117.5459,100.0,60,48
307369.232,305399.81780851056,332581.9182,100.0,240,47
307422.406,305276.4371272727,331691.8859,100.0,-300,55
307574.906,305311.2734909091,332306.2859,100.0,-480,55
307676.906,305293.25397872337,332054.0565,100.0,270,47
307835.906,305408.43083333335,331627.6959,100.0,90,48
307880.90599999996,305663.07466666657,331276.57855,100.0,-270,54
307887.9060000001,305267.38258181815,330953.207,100.0,-180,55
307891.906,305463.4553090909,331037.60699999996,100.0,-210,55
307932.0835,305638.2286538462,331029.71489999996,100.0,-60,52
308003.906,305968.6612115385,331255.359,100.0,-240,52
308005.6705,305650.14422222215,332667.47854999994,100.0,-510,54
308040.1705,305719.8431956521,331970.7515,100.0,210,46
308098.732,305589.3887317073,331283.983,100.0,630,41
308274.406,307129.53225490195,332481.4065,100.0,-600,51
308357.232,305409.79907317075,333255.983,100.0,600,41
308369.6705,305665.0363461539,330897.54209999996,100.0,-90,52
308387.156,305470.4594230769,330828.91709999996,100.0,-120,52
308447.232,305455.8229069767,330863.61209999997,100.0,660,43
308571.935,306112.85471111105,331997.03479999996,100.0,180,45
308658.6705,305403.67096153845,330546.90015,100.0,-150,52
308739.935,306088.43595744675,331974.0182,100.0,120,47
308872.00600000005,305971.1082142857,332806.757,100.0,570,42
309034.85750000004,306462.07967391296,332300.62649999995,100.0,150,46
309119.6705,306846.32389583334,333543.889,100.0,-690,48
309224.406,306561.7348292683,330850.462,100.0,690,41
309475.4060000001,306581.82697560976,331247.483,100.0,720,41
